Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
Tim Stutzle,24,OTT,"C,LW","$8,350,000",,,,82,63,15.74,3.32,0.67,19.73,24,36,60,5,15,20,0,1,1,90,39,24,301,212,142,2,1227,18,1165,402,8482116,,63.0,63.0
Moritz Seider,24,DET,D,"$8,550,000",,,,82,63,19.74,3.19,1.97,24.90,7,33,40,3,17,20,0,1,1,137,127,33,0,0,131,0,1128,24,1024,331,8481542,,63.0,63.0
Zach Werenski,28,CBJ,D,"$9,583,333",,,,80,62,22.22,2.83,1.44,26.49,14,43,57,3,15,18,0,1,1,27,108,16,0,0,207,5,1136,23,1032,397,8478460,,62.4,62.4
Vincent Trocheck,32,NYR,C,"$5,625,000",,,,82,62,15.34,2.49,1.82,19.65,18,29,47,5,6,11,1,1,2,155,58,34,597,476,131,0,1078,28,1260,424,8476389,,62.0,62.0
Rasmus Dahlin,25,BUF,D,"$11,000,000",,,,76,59,19.97,3.33,0.94,24.24,12,37,49,4,15,19,0,0,0,70,83,43,0,0,153,-7,1116,26,1012,339,8480839,,59.3,59.3
Brad Marchand,37,FLA,"LW,RW","$5,250,000",,,,79,62,13.71,3.28,1.13,18.12,24,32,56,6,14,20,1,0,1,65,26,51,2,6,158,-4,1125,25,1063,353,8473419,,61.7,61.7
Roman Josi,35,NSH,D,"$9,059,000",,,,77,58,19.26,3.49,1.31,24.06,12,41,53,4,17,21,0,0,0,37,105,23,0,0,164,-5,1071,30,967,351,8474600,,60.0,58.2
Mika Zibanejad,32,NYR,"C,RW","$8,500,000",,,,82,62,15.02,2.99,1.92,19.93,21,31,52,9,11,20,1,2,3,66,40,17,462,390,169,-11,1068,31,1079,414,8476459,,62.0,62.0
Quinn Hughes,26,VAN,D,"$7,850,000",,,,76,57,22.00,4.02,0.27,26.29,11,52,63,3,24,27,0,0,0,10,56,20,0,0,154,7,1043,32,939,347,8480800,,57.5,57.5
Brandon Hagel,27,TBL,"LW,RW","$6,500,000",,,,82,64,15.41,2.24,2.13,19.77,32,33,65,4,6,10,2,1,3,44,43,42,11,19,156,22,1095,27,1033,376,8479542,,64.0,64.0
Tage Thompson,28,BUF,"C,RW","$7,142,857",,,,75,59,15.39,3.11,0.21,18.72,28,27,55,8,9,17,0,0,0,71,30,26,231,242,200,-4,1076,29,1087,413,8479420,,58.5,58.5
Elias Pettersson (F),27,VAN,"C,LW","$11,600,000",,,,78,59,15.06,3.33,1.07,19.46,17,33,50,5,11,16,1,0,1,70,79,10,535,562,115,-1,1034,34,972,371,8480012,,59.0,59.0
Sebastian Aho (F),28,CAR,C,"$9,750,000",,,,78,61,14.99,3.24,1.83,20.05,25,37,62,6,13,19,2,1,3,57,25,24,472,487,160,11,1040,33,1221,428,8478427,,60.9,60.9
Martin Necas,27,COL,RW,"$6,500,000",,,,78,60,16.01,3.81,0.06,19.88,24,39,63,8,14,22,0,0,0,62,22,26,30,27,152,14,970,42,982,363,8480039,,59.9,59.9
William Nylander,29,TOR,"C,RW","$11,500,000",,,,82,63,16.55,3.13,0.17,19.84,28,43,71,6,15,21,0,0,0,11,25,21,49,63,176,4,1029,36,1040,385,8477939,,63.0,63.0
Nick Suzuki,26,MTL,C,"$7,875,000",,,,82,64,16.18,3.42,0.73,20.33,21,42,63,6,16,22,0,1,1,45,49,13,555,515,130,9,1030,35,1212,420,8480018,,64.0,64.0
Tomas Hertl,32,VGK,"C,LW","$8,137,500",,,,76,59,14.18,3.10,0.30,17.58,24,23,47,9,8,17,0,0,0,70,43,18,524,359,139,2,1018,38,956,404,8476881,,59.3,59.3
Travis Konecny,28,PHI,"LW,RW","$8,750,000",,,,82,64,15.83,2.51,1.37,19.70,22,33,55,4,7,11,1,2,3,92,39,44,30,44,155,-1,1025,37,963,349,8478439,,64.0,64.0
Adrian Kempe,29,LAK,RW,"$5,500,000",,,,80,61,14.95,2.99,1.17,19.12,24,30,54,6,11,17,1,0,1,103,30,34,27,43,183,8,1008,39,1019,379,8477960,,61.5,61.5
Adam Fox,27,NYR,D,"$9,500,000",,,,78,59,19.39,3.19,1.46,24.04,10,46,56,2,20,22,0,1,1,29,92,27,0,0,113,6,974,40,870,311,8479323,,59.0,59.0
Artemi Panarin,34,NYR,LW,"$11,642,857",,,,79,60,16.73,3.26,0.01,19.99,23,45,68,6,18,24,0,0,0,10,10,14,0,1,178,1,933,49,871,362,8478550,,59.7,59.7
Charlie McAvoy,28,BOS,D,"$9,500,000",,,,78,59,17.73,3.35,2.28,23.36,8,34,42,2,14,16,0,1,1,89,102,51,0,0,95,1,972,41,868,286,8479325,,61.0,59.0
Timo Meier,29,NJD,"LW,RW","$8,800,000",,,,79,62,15.91,2.03,0.09,18.03,23,24,47,7,6,13,0,0,0,108,44,32,32,33,192,2,966,43,904,372,8478414,,61.7,61.7
Sam Reinhart,30,FLA,"C,RW","$8,625,000",,,,80,62,15.36,3.57,1.61,20.54,31,26,57,12,9,21,1,2,3,67,48,13,115,171,163,1,955,46,967,373,8477933,,62.4,62.4
Matthew Tkachuk,28,FLA,"LW,RW","$9,500,000",,,,74,50,14.89,3.27,0.00,18.16,21,33,54,8,11,19,0,0,0,76,16,42,2,4,151,11,960,44,898,340,8479314,,50.0,57.8
Kevin Fiala,29,LAK,LW,"$7,875,000",,,,81,62,15.17,3.16,0.02,18.36,25,31,56,8,14,22,0,0,0,38,21,30,5,14,181,6,957,45,895,363,8477942,,62.2,62.2
Mark Scheifele,32,WPG,C,"$8,500,000",,,,80,62,16.57,2.96,0.33,19.86,26,34,60,7,10,17,0,0,0,26,35,34,461,471,131,3,949,47,1131,392,8476460,,62.4,62.4
John Tavares,35,TOR,C,"$4,388,420",,,,76,58,14.86,2.87,0.02,17.74,26,28,54,9,8,17,0,0,0,62,29,22,565,379,160,3,947,48,1129,442,8475166,,58.4,58.4
MacKenzie Weegar,32,CGY,D,"$6,250,000",,,,78,59,19.20,2.78,1.93,23.91,6,27,33,2,11,13,0,1,1,147,120,37,0,0,130,-7,930,51,826,305,8477346,,59.0,59.0
Clayton Keller,27,UTA,"LW,RW","$7,150,000",,,,80,62,15.65,3.47,0.06,19.17,24,41,65,5,18,23,0,0,0,11,23,19,5,5,164,0,931,50,869,352,8479343,,62.4,62.4
Jake Guentzel,31,TBL,LW,"$9,000,000",,,,77,60,15.25,3.68,0.91,19.85,26,31,57,8,11,19,1,0,1,27,40,18,126,118,158,9,896,54,834,362,8477404,,60.1,60.1
Josh Morrissey,30,WPG,D,"$6,250,000",,,,80,62,19.89,3.07,0.98,23.94,9,43,52,2,17,19,0,0,0,40,99,23,0,0,127,9,907,52,803,316,8477504,,62.4,62.4
Mitch Marner,28,VGK,RW,"$12,000,000",,,,78,61,15.75,3.44,1.74,20.93,18,52,70,5,18,23,1,1,2,31,36,13,27,26,121,12,870,58,881,334,8478483,,60.9,60.9
Bo Horvat,30,NYI,C,"$8,500,000",,,,78,60,14.85,3.24,1.63,19.72,27,26,53,7,8,15,1,1,2,51,31,17,597,416,169,5,886,57,1068,448,8477500,,59.9,59.9
Kyle Connor,29,WPG,LW,"$7,142,857",,,,80,62,16.08,2.97,0.96,20.01,27,35,62,5,14,19,1,0,1,27,24,13,1,1,199,1,904,53,842,377,8478398,,62.4,62.4
Evan Bouchard,26,EDM,D,"$10,500,000",,,,81,61,19.01,3.25,0.84,23.10,11,40,51,4,15,19,0,0,0,30,79,24,0,0,158,13,889,56,785,336,8480803,,61.2,61.2
Nico Hischier,27,NJD,C,"$7,250,000",,,,77,60,15.48,2.98,2.01,20.47,22,33,55,7,10,17,1,1,2,31,51,11,675,561,142,5,890,55,1072,430,8480002,,60.1,60.1
Alex DeBrincat,28,DET,"LW,RW","$7,875,000",,,,82,63,14.13,3.24,0.03,17.40,27,27,54,11,10,21,0,0,0,25,27,20,7,16,195,-4,856,61,795,362,8479337,,63.0,63.0
Mikhail Sergachev,27,UTA,D,"$8,500,000",,,,78,61,18.68,3.25,2.74,24.68,8,38,46,2,18,20,0,1,1,37,113,29,0,0,111,-6,869,59,765,290,8479410,,60.9,60.9
Nazem Kadri,35,CGY,C,"$7,000,000",,,,82,62,16.21,3.24,0.09,19.54,21,29,50,7,10,17,0,0,0,41,23,36,370,445,195,-9,865,60,1047,398,8475172,,62.0,62.0
Victor Hedman,35,TBL,D,"$8,000,000",,,,76,59,17.30,3.28,1.91,22.50,9,39,48,3,17,20,0,1,1,31,94,24,0,0,119,6,804,69,700,297,8475167,,63.0,59.3
Joel Eriksson Ek,29,MIN,C,"$5,250,000",,,,74,56,14.06,3.52,1.82,19.40,18,22,40,7,7,14,1,0,1,99,42,27,571,562,161,1,813,68,995,402,8478493,,56.0,56.0
Jakob Chychrun,27,WSH,D,"$9,000,000",,,,76,59,19.65,2.58,0.33,22.56,14,27,41,5,8,13,0,0,0,55,81,38,0,0,162,7,834,64,730,326,8479345,,59.3,59.3
Drake Batherson,27,OTT,"LW,RW","$4,975,000",,,,82,63,14.81,3.03,0.01,17.84,20,32,52,8,10,18,0,0,0,111,26,23,7,4,140,0,837,62,775,323,8480208,,63.0,63.0
Jesper Bratt,27,NJD,"LW,RW","$7,875,000",,,,81,63,14.20,2.93,1.21,18.34,19,42,61,4,17,21,1,0,1,67,29,11,1,1,141,5,837,63,775,330,8479407,,63.2,63.2
Mathew Barzal,28,NYI,"C,RW","$9,150,000",,,,78,60,16.88,3.23,0.03,20.14,17,40,57,3,14,17,0,0,0,31,46,24,132,247,141,12,802,71,814,331,8478445,,59.9,59.9
Dylan Strome,28,WSH,C,"$5,000,000",,,,82,64,14.27,3.05,0.06,17.37,19,38,57,4,15,19,0,0,0,22,38,20,578,443,119,5,831,65,1013,396,8478440,,64.0,64.0
Dylan Cozens,24,OTT,C,"$7,100,000",,,,81,62,14.22,2.63,0.52,17.37,17,24,41,5,8,13,0,0,0,165,33,36,367,329,137,-11,814,67,996,364,8481528,,62.2,62.2
Juraj Slafkovsky,21,MTL,"LW,RW","$7,600,000",,,,79,62,14.69,3.08,0.01,17.78,19,22,41,7,6,13,0,0,0,131,57,39,9,32,121,0,817,66,755,300,8483515,,61.7,61.7
Matthew Knies,23,TOR,LW,"$7,750,000",,,,77,59,15.32,2.60,1.32,19.24,19,28,47,5,7,12,0,1,1,151,35,32,0,0,119,6,803,70,741,306,8482720,,59.2,59.2
Alex Tuch,29,BUF,RW,"$4,750,000",,,,81,63,14.39,2.17,2.18,18.75,23,27,50,3,5,8,2,1,3,44,73,40,34,40,148,-1,785,72,796,331,8477949,,63.2,63.2
Miro Heiskanen,26,DAL,D,"$8,450,000",,,,79,61,19.55,3.58,1.45,24.58,8,41,49,2,19,21,0,0,0,18,94,18,0,0,132,8,782,73,678,305,8480036,,60.7,60.7
John Carlson,36,WSH,D,"$8,000,000",,,,80,62,17.36,3.27,2.65,23.28,10,36,46,3,15,18,0,1,1,33,108,18,0,0,132,7,778,74,674,307,8474590,,63.0,62.4
Dougie Hamilton,32,NJD,D,"$9,000,000",,,,80,61,16.91,2.50,0.84,20.25,11,29,40,6,11,17,0,0,0,63,78,28,0,0,157,4,775,75,671,316,8476462,,61.0,62.4
Evgeni Malkin,39,PIT,"C,LW","$6,100,000",,,,74,57,14.79,2.66,0.01,17.46,15,33,48,4,12,16,0,0,0,24,28,37,214,270,117,-6,726,82,664,295,8471215,,56.9,56.9
Steven Stamkos,35,NSH,"C,LW,RW","$8,000,000",,,,81,61,14.24,3.20,0.03,17.47,19,25,44,8,9,17,0,0,0,46,35,31,221,188,132,-11,754,77,692,319,8474564,,61.2,61.2
Brandon Montour,31,SEA,D,"$7,142,857",,,,80,62,20.21,2.38,0.23,22.82,11,26,37,2,11,13,0,0,0,65,82,36,0,0,162,-5,764,76,659,311,8477986,,62.4,62.4
Evander Kane,34,VAN,LW,"$5,125,000",,,,76,57,15.84,1.44,0.25,17.52,17,18,35,2,3,5,0,0,0,139,27,54,14,24,165,-4,740,80,678,313,8475169,,57.5,57.5
Mikael Granlund,33,ANA,"C,LW,RW","$7,000,000",,,,81,63,13.73,2.91,1.51,18.14,14,31,45,4,13,17,1,0,1,38,43,19,417,384,113,-11,743,78,682,323,8475798,,63.0,63.2
Cole Caufield,25,MTL,"LW,RW","$7,850,000",,,,82,64,15.21,3.14,0.00,18.36,30,23,53,8,8,16,0,0,0,53,23,14,6,10,181,5,741,79,679,351,8481540,,64.0,64.0
Andrei Svechnikov,25,CAR,"LW,RW","$7,750,000",,,,73,57,13.63,2.92,0.02,16.56,20,25,45,7,8,15,0,0,0,91,17,39,7,3,142,4,736,81,674,308,8480830,,57.0,57.0
Will Cuylle,23,NYR,"LW,RW","$3,900,000",,,,81,61,14.22,1.04,0.97,16.23,17,16,33,3,2,5,1,0,1,220,43,36,22,21,125,-2,703,85,641,295,8482157,,61.2,61.2
Sam Bennett,29,FLA,C,"$8,000,000",,,,73,57,14.14,2.55,0.17,16.85,17,19,36,5,6,11,0,0,0,114,31,52,349,356,143,1,712,83,894,350,8477935,,57.0,57.0
Erik Karlsson,35,PIT,D,"$11,500,000",,,,82,63,19.27,2.68,1.08,23.02,9,41,50,2,15,17,0,0,0,13,71,21,0,0,134,-5,682,91,578,290,8474578,,63.0,63.0
Nick Schmaltz,29,UTA,"C,RW","$5,850,000",,,,82,64,15.08,3.32,0.69,19.10,23,35,58,8,10,18,0,1,1,14,37,13,131,189,147,1,706,84,718,332,8477951,,64.0,64.0
Dylan Guenther,22,UTA,RW,"$7,142,875",,,,76,59,13.47,3.47,0.42,17.36,24,25,49,10,10,20,0,0,0,53,30,19,23,28,175,-5,700,86,711,339,8482699,,59.3,59.3
Alexander Nikishin,24,CAR,D,"$925,000",,,,78,61,18.08,1.46,0.94,20.48,7,23,30,1,7,8,0,0,0,147,104,33,0,0,119,8,690,87,586,283,8482100,,60.9,60.9
Lucas Raymond,23,DET,RW,"$8,075,000",,,,82,63,14.36,3.28,0.44,18.09,20,39,59,6,17,23,0,0,0,31,25,13,4,2,132,2,662,96,673,311,8482078,,63.0,63.0
Alex Ovechkin,40,WSH,"LW,RW","$9,500,000",,,,72,56,13.33,4.18,0.05,17.56,24,25,49,7,9,16,0,0,0,102,16,13,2,1,165,2,688,88,626,330,8471214,,56.2,56.2
Quinton Byfield,23,LAK,"C,LW","$6,250,000",,,,78,60,14.94,2.45,1.51,18.90,17,27,44,4,6,10,1,0,1,58,26,29,329,454,129,11,686,89,624,315,8482124,,59.9,59.9
Carter Verhaeghe,30,FLA,LW,"$7,000,000",,,,80,62,15.15,2.61,0.02,17.78,20,28,48,5,8,13,0,0,0,59,24,27,31,38,168,1,685,90,623,325,8477409,,62.4,62.4
Nikita Zadorov,30,BOS,D,"$5,000,000",,,,80,60,17.87,0.14,2.56,20.58,5,13,18,0,1,1,0,1,1,170,73,88,0,0,72,6,671,92,567,226,8477507,,60.5,60.5
Dmitri Voronkov,25,CBJ,LW,"$4,175,000",,,,77,60,13.68,2.28,0.02,15.99,21,18,39,7,3,10,0,0,0,96,37,45,27,46,126,3,669,94,607,290,8481716,,60.1,60.1
Zach Hyman,33,EDM,"LW,RW","$5,500,000",,,,74,56,16.31,2.91,0.06,19.27,27,20,47,7,4,11,0,0,0,88,24,24,2,3,161,18,670,93,608,332,8475786,,56.0,56.0
Seth Jarvis,23,CAR,"C,LW,RW","$7,420,087",,,,77,60,13.90,3.21,1.78,18.88,27,23,50,6,6,12,2,1,3,62,39,13,43,55,163,11,667,95,605,337,8482093,,60.1,60.1
Shea Theodore,30,VGK,D,"$7,425,000",,,,78,61,19.55,2.64,0.73,22.92,8,41,49,2,14,16,0,0,0,6,92,14,0,0,127,9,626,100,522,289,8477447,,60.9,60.9
Roope Hintz,29,DAL,C,"$8,450,000",,,,75,58,13.37,2.88,1.11,17.35,23,27,50,7,11,18,1,1,2,46,32,18,405,344,134,5,650,97,832,369,8478449,,57.6,57.6
Kiefer Sherwood,30,VAN,RW,"$1,500,000",,,,78,59,13.14,1.17,1.57,15.88,15,14,29,2,3,5,1,0,1,283,31,33,15,25,107,-3,583,108,595,275,8480748,,59.0,59.0
Jack McBain,26,UTA,"C,LW","$4,250,000",,,,82,64,11.54,0.61,1.47,13.63,11,15,26,1,2,3,0,0,0,192,42,49,283,262,77,2,630,98,568,271,8480855,,64.0,64.0
Robert Thomas,26,STL,C,"$8,125,000",,,,80,61,15.08,2.52,1.34,18.94,15,39,54,3,13,16,1,0,1,11,35,20,554,484,103,7,628,99,810,356,8480023,,61.5,61.5
Cutter Gauthier,22,ANA,LW,"$950,000",,,,81,63,13.96,2.12,0.18,16.25,23,22,45,5,4,9,0,0,0,54,39,18,35,50,198,1,626,101,564,345,8483445,,63.2,63.2
Logan Cooley,21,UTA,C,"$950,000",,,,78,61,14.58,2.90,0.86,18.34,22,29,51,7,10,17,0,1,1,53,29,25,292,409,126,-3,618,102,800,326,8483431,,60.9,60.9
Vince Dunn,29,SEA,D,"$7,350,000",,,,78,61,19.57,2.73,0.22,22.52,9,31,40,2,13,15,0,0,0,25,66,37,0,0,126,-8,608,103,504,268,8478407,,60.9,60.9
Neal Pionk,30,WPG,D,"$7,000,000",,,,80,62,18.75,1.61,2.28,22.63,6,24,30,2,6,8,0,1,1,108,100,37,0,0,115,-1,606,104,502,265,8480145,,62.4,62.4
Mathieu Olivier,28,CBJ,RW,"$3,000,000",,,,78,61,13.10,0.22,0.87,14.19,10,12,22,0,1,1,0,1,1,206,55,78,3,5,79,-2,598,105,609,238,8479671,,60.9,60.9
Boone Jenner,32,CBJ,"C,LW","$3,750,000",,,,76,59,14.05,1.70,1.31,17.07,17,18,35,4,3,7,1,0,1,106,51,24,230,195,134,-6,589,106,527,310,8476432,,61.0,59.3
Elias Lindholm,31,BOS,C,"$7,750,000",,,,82,61,13.39,2.97,1.52,17.89,15,23,38,7,8,15,1,0,1,83,56,16,585,448,110,-6,584,107,765,358,8477496,,61.0,62.0
Mason McTavish,23,ANA,C,"$7,000,000",,,,76,59,14.73,2.26,0.14,17.12,19,22,41,6,5,11,0,0,0,62,31,44,376,405,122,-9,583,110,765,323,8482745,,59.3,59.3
Noah Dobson,26,MTL,D,"$9,500,000",,,,80,62,18.66,1.90,1.40,21.97,7,31,38,1,9,10,0,1,1,34,113,24,0,0,130,0,576,112,472,278,8480865,,62.4,62.4
Lane Hutson,21,MTL,D,"$950,000",,,,82,64,19.45,3.02,0.20,22.67,6,39,45,2,15,17,0,0,0,34,97,18,0,0,84,-5,576,113,472,246,8483457,,64.0,64.0
Ryan Nugent-Hopkins,32,EDM,"C,LW","$5,125,000",,,,78,59,14.11,3.03,1.59,18.74,16,31,47,5,16,21,1,0,1,27,29,18,165,205,109,0,583,109,521,282,8476454,,61.0,59.0
Jamie Benn,36,DAL,"C,LW","$1,000,000",,,,78,60,12.01,2.16,0.72,14.89,14,26,40,4,9,13,0,1,1,80,33,28,235,177,99,1,581,111,519,288,8473994,,62.0,59.9
Brayden Point,29,TBL,C,"$9,500,000",,,,77,60,15.28,3.67,0.02,18.97,25,29,54,9,10,19,0,0,0,14,32,8,303,368,137,0,520,127,702,339,8478010,,60.1,60.1
Jared McCann,29,SEA,"C,LW","$5,000,000",,,,80,60,13.22,2.53,1.30,17.05,22,26,48,5,9,14,1,0,1,49,32,14,64,64,148,1,574,114,512,311,8477955,,60.0,62.4
Mike Matheson,31,MTL,D,"$4,875,000",,,,78,61,19.86,1.49,3.65,25.00,7,25,32,1,6,7,0,1,1,47,129,37,0,0,103,-3,559,118,455,253,8476875,,60.9,60.9
Seth Jones,31,FLA,D,"$9,500,000",,,,76,59,18.36,3.17,2.15,23.67,8,27,35,3,13,16,0,0,0,75,91,20,0,0,113,-14,560,117,456,257,8477495,,59.3,59.3
Pavel Zacha,28,BOS,"C,LW","$4,750,000",,,,81,61,13.23,2.95,1.69,17.87,16,26,42,5,9,14,1,0,1,66,26,17,354,292,98,0,564,115,502,300,8478401,,61.2,61.2
Nikolaj Ehlers,29,CAR,"LW,RW","$8,500,000",,,,78,61,13.17,2.67,0.01,15.86,18,32,50,5,11,16,0,0,0,27,25,16,14,23,160,8,560,116,499,311,8477940,,60.9,60.9
Pavel Dorofeyev,25,VGK,"LW,RW","$1,835,000",,,,78,61,14.02,2.79,0.01,16.82,25,18,43,10,6,16,0,0,0,25,29,19,1,2,168,4,513,129,451,311,8481604,,60.9,60.9
Kirill Marchenko,25,CBJ,RW,"$3,850,000",,,,79,62,15.70,2.70,0.10,18.49,24,25,49,5,8,13,0,0,0,49,37,15,3,6,169,5,548,122,559,327,8480893,,61.7,61.7
Morgan Geekie,27,BOS,"C,LW,RW","$5,500,000",,,,78,59,14.41,2.55,0.05,17.02,22,22,44,4,8,12,0,0,0,87,31,19,99,121,119,1,555,120,494,288,8479987,,59.0,59.0
Claude Giroux,38,OTT,"LW,RW","$2,000,000",,,,81,62,12.99,2.36,1.83,17.18,14,30,44,3,11,14,1,0,1,54,25,15,323,189,112,0,556,119,494,313,8473512,,62.2,62.2
Gabriel Landeskog,33,COL,LW,"$7,000,000",,,,71,55,12.86,2.61,0.32,15.80,16,23,39,4,6,10,0,0,0,86,30,35,101,77,121,10,554,121,492,288,8476455,,54.5,54.5
Rasmus Andersson,29,CGY,D,"$4,550,000",,,,80,60,19.09,2.19,2.62,23.90,8,20,28,2,8,10,0,1,1,30,120,38,0,0,126,-12,534,123,430,258,8478397,,60.5,60.5
Jonathan Marchessault,35,NSH,RW,"$5,500,000",,,,78,59,14.63,3.08,0.01,17.72,19,24,43,6,9,15,0,0,0,84,17,21,11,15,149,-11,474,140,485,291,8476539,,59.0,59.0
Marco Kasper,21,DET,"C,LW","$886,667",,,,78,60,13.65,1.39,0.59,15.62,16,16,32,3,3,6,0,1,1,134,39,24,266,302,110,-3,507,130,445,282,8483464,,59.9,59.9
Shayne Gostisbehere,32,CAR,D,"$3,200,000",,,,76,59,14.70,3.25,0.22,18.17,7,36,43,3,18,21,0,0,0,33,57,21,0,0,101,13,530,125,426,257,8476906,,59.3,59.3
Frank Vatrano,31,ANA,"C,LW","$4,571,189",,,,80,62,11.99,1.82,0.92,14.73,15,15,30,4,5,9,1,0,1,131,45,36,14,20,139,-14,533,124,471,275,8478366,,62.4,62.4
Anders Lee,35,NYI,LW,"$7,000,000",,,,81,62,13.66,2.01,0.01,15.68,21,14,35,5,2,7,0,0,0,80,45,31,36,30,151,2,495,134,433,296,8475314,,62.2,62.2
Sean Monahan,31,CBJ,C,"$5,500,000",,,,80,62,14.36,2.64,1.36,18.36,16,28,44,6,8,14,1,0,1,33,32,15,630,548,123,2,528,126,710,364,8477497,,62.4,62.4
Darnell Nurse,30,EDM,D,"$9,250,000",,,,75,57,19.48,0.68,1.67,21.83,6,17,23,0,2,2,0,1,1,102,118,41,0,0,129,-3,514,128,410,262,8477498,,56.7,56.7
