Player Name,Team,Age,Positions,FP,FP/GP,GS,W,L,OTL,SHO,SA,GA,SV,GAA,SV%
Alex Nedeljkovic,S.J,29,G,200.0,5.91,34,12.4,17.2,4.2,0.9,1077.4,107.9,969.5,3.19,0.900
Tristan Jarry,PIT,30,G,199.2,6.21,32,13.4,14.6,4.0,1.3,991.5,97.0,894.6,3.03,0.902
Yaroslav Askarov,S.J,23,G,195.8,5.79,34,12.6,17.0,4.2,0.8,1077.4,109.2,968.2,3.23,0.899
Elvis Merzlikins,CBJ,31,G,192.2,5.92,32,15.2,13.3,4.1,1.2,986.5,99.7,886.8,3.07,0.899
Arturs Silovs,PIT,24,G,182.9,5.71,32,13.3,14.7,4.0,0.9,991.5,101.3,890.2,3.16,0.898
Samuel Ersson,PHI,26,G,180.3,5.00,36,15.4,16.2,4.5,1.4,1033.2,110.0,923.1,3.05,0.893
Charlie Lindgren,WSH,31,G,176.1,6.18,28,14.9,10.0,3.6,1.5,830.8,82.0,748.8,2.88,0.901
Alex Lyon,BUF,32,G,171.4,6.42,27,13.4,9.9,3.3,1.2,806.5,78.5,728.0,2.94,0.903
Jake Allen,N.J,35,G,165.9,6.21,27,14.8,8.6,3.3,1.6,757.3,74.3,683.0,2.78,0.902
Dan Vladar,PHI,28,G,165.4,5.73,29,12.5,12.7,3.6,1.5,826.5,82.4,744.1,2.85,0.900
Kevin Lankinen,VAN,30,G,162.8,6.18,26,12.9,10.1,3.3,1.1,791.9,78.3,713.6,2.97,0.901
Calvin Pickard,EDM,33,G,159.0,6.03,26,15.7,7.3,3.3,1.5,738.2,74.4,663.9,2.82,0.899
Leevi Merilainen,OTT,23,G,148.4,5.95,25,12.3,9.5,3.1,1.4,709.7,70.3,639.4,2.82,0.901
Arvid Soderblom,CHI,26,G,143.9,5.39,27,9.6,13.8,3.3,0.7,822.2,85.0,737.3,3.18,0.897
Anton Forsberg,L.A,32,G,139.4,5.88,24,12.1,8.6,3.0,1.3,673.4,67.5,605.9,2.85,0.900
Joel Hofer,STL,25,G,138.0,5.88,23,11.8,8.8,2.9,1.3,667.0,66.6,600.4,2.84,0.900
David Rittich,NYI,33,G,132.4,5.87,23,10.0,9.7,2.8,0.9,680.5,68.5,612.1,3.03,0.899
Scott Wedgewood,COL,33,G,132.1,6.27,21,12.5,5.9,2.6,1.3,590.5,58.1,532.5,2.76,0.902
Akira Schmid,VGK,25,G,129.1,6.04,21,12.8,5.9,2.7,1.3,589.7,59.0,530.7,2.76,0.900
Daniil Tarasov,FLA,26,G,125.2,5.70,22,11.9,7.3,2.7,1.1,618.1,63.4,554.7,2.89,0.897
Petr Mrazek,ANA,33,G,121.9,5.87,21,8.7,9.5,2.6,0.6,653.1,66.3,586.8,3.19,0.899
Joonas Korpisalo,BOS,31,G,115.0,5.24,22,8.7,10.5,2.7,0.6,662.2,69.5,592.6,3.17,0.895
Philipp Grubauer,SEA,33,G,112.8,5.28,21,8.5,10.2,2.7,0.6,647.7,67.9,579.8,3.18,0.895
Casey DeSmith,DAL,34,G,111.8,6.28,18,10.0,5.6,2.2,0.9,516.8,51.0,465.8,2.86,0.901
Eric Comrie,WPG,30,G,110.0,6.18,18,9.3,6.3,2.2,0.8,526.9,52.3,474.6,2.94,0.901
Jakub Dobes,MTL,24,G,109.2,6.22,18,8.3,7.0,2.2,0.9,522.6,51.1,471.5,2.91,0.902
Jonas Johansson,T.B,30,G,103.6,5.82,18,10.3,5.3,2.2,0.7,517.7,53.6,464.1,3.01,0.896
Jonathan Quick,NYR,39,G,101.5,5.78,18,8.6,6.7,2.2,0.8,511.6,51.9,459.7,2.96,0.898
Vitek Vanecek,UTA,29,G,100.2,5.71,18,8.7,6.6,2.2,0.8,504.4,51.4,453.0,2.93,0.898
Ivan Prosvetov,CGY,26,G,94.6,5.39,18,7.1,8.3,2.2,0.6,527.2,54.7,472.5,3.11,0.896
Justus Annunen,NSH,25,G,93.3,5.31,18,7.3,8.1,2.2,0.4,539.5,56.9,482.6,3.24,0.895
