Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Kyle Connor,WPG,28,LW,377.4,5.63,67,20.6,3.5,34.1,40.7,74.7,231.3,6.2,22.5,30.1,23.2,3.4,5.2,0.8,4.0,16%,,
Wyatt Johnston,DAL,22,"C,RW",376.5,5.70,66,22.1,3.8,33.8,38.9,72.7,211.8,12.4,27.4,50.3,40.1,5.5,5.5,406.1,396.7,51%,,
Artemi Panarin,NYR,34,LW,374.1,5.67,66,21.0,3.8,30.6,46.6,77.2,218.8,7.3,26.8,12.7,18.2,4.1,5.4,0.1,3.1,4%,,
Sam Reinhart,FLA,30,"C,RW",367.9,5.49,67,22.1,3.9,38.4,32.8,71.2,203.8,14.1,25.0,55.0,81.1,6.1,6.3,172.0,243.3,41%,,
Macklin Celebrini,S.J,19,C,361.1,5.47,66,20.8,2.9,28.2,41.6,69.8,216.2,7.2,19.4,48.5,45.1,-6.3,3.5,533.7,564.6,49%,,
William Nylander,TOR,29,"C,RW",360.5,5.46,66,19.5,3.1,33.5,41.2,74.7,202.6,8.2,22.5,25.1,17.7,2.5,4.7,54.6,58.1,48%,,
Martin Necas,COL,26,RW,357.4,5.42,66,21.3,4.0,28.1,45.1,73.3,194.3,10.5,28.2,24.7,64.1,8.9,4.9,43.0,62.6,41%,,
Sidney Crosby,PIT,38,C,351.5,5.41,65,19.9,3.5,30.5,42.5,73.0,188.3,11.9,22.7,30.9,56.1,-1.9,4.1,808.6,613.6,57%,,
Matthew Tkachuk,FLA,27,"LW,RW",347.8,5.19,67,18.3,3.3,24.4,45.0,69.4,209.1,7.7,24.3,21.3,104.9,5.8,4.0,2.0,5.4,28%,,
Connor Bedard,CHI,20,"C,RW",346.6,5.25,66,21.4,3.4,24.3,44.3,68.6,196.2,9.4,27.8,29.9,38.1,-6.5,3.5,231.1,353.1,40%,,
Jake Guentzel,T.B,31,LW,345.9,5.16,67,20.2,4.0,31.0,37.1,68.1,194.2,10.1,23.5,41.7,31.4,7.7,5.3,87.6,127.9,41%,,
Brady Tkachuk,OTT,26,"C,LW",342.0,5.18,66,18.8,3.8,27.6,29.3,57.0,270.6,11.0,21.6,28.4,196.0,3.4,4.3,167.5,152.6,52%,,
Mark Scheifele,WPG,32,C,340.1,5.08,67,20.3,3.5,31.0,42.2,73.2,156.3,9.9,22.6,39.4,47.1,3.6,4.8,523.9,546.0,49%,,
Tage Thompson,BUF,28,"C,RW",339.0,5.06,67,19.0,3.4,33.2,28.5,61.7,239.3,7.8,18.0,32.2,71.5,0.4,4.5,276.9,358.1,44%,,
Filip Forsberg,NSH,31,LW,336.9,5.18,65,19.1,2.9,28.5,33.5,62.0,227.5,6.4,17.6,39.3,121.2,-3.3,3.8,5.4,11.2,32%,,
Adrian Kempe,L.A,29,RW,336.2,5.09,66,19.7,3.4,27.4,38.0,65.4,207.8,6.1,20.2,32.1,97.5,3.1,4.2,16.4,28.7,36%,,
J.T. Miller,NYR,32,"C,RW",335.2,5.08,66,21.3,3.4,24.1,45.2,69.3,164.4,5.5,22.2,45.9,158.7,3.0,4.3,695.9,512.0,58%,,
Alex Ovechkin,WSH,40,"LW,RW",334.9,5.00,67,18.7,4.8,33.5,31.5,65.1,218.4,11.2,22.7,15.8,117.0,2.5,5.6,0.4,2.5,13%,,
Nick Suzuki,MTL,26,C,334.6,4.99,67,20.2,3.3,24.3,46.2,70.4,147.2,6.9,24.6,50.1,48.8,3.4,3.7,567.4,525.6,52%,,
Clayton Keller,UTA,27,"LW,RW",332.3,5.04,66,18.6,3.7,24.9,42.4,67.3,180.1,7.3,28.5,23.7,16.8,0.9,3.8,12.4,14.6,46%,,
Matt Boldy,MIN,24,"LW,RW",327.9,5.04,65,20.6,4.0,24.4,35.7,60.1,204.1,8.6,22.8,45.3,41.9,1.4,3.6,43.5,55.4,44%,,
Dylan Larkin,DET,29,C,327.5,4.96,66,20.5,3.4,28.4,34.5,62.9,201.3,11.6,22.6,31.3,38.4,-0.9,3.6,722.6,592.3,55%,,
Adam Fox,NYR,27,D,327.1,4.96,66,24.5,3.9,12.5,49.1,61.6,136.3,3.7,23.6,101.2,41.4,5.1,2.2,0.0,0.0,0%,,
Brandon Hagel,T.B,27,"LW,RW",326.8,4.88,67,21.1,2.1,27.1,41.1,68.2,182.4,1.7,8.0,46.1,50.8,8.2,4.6,12.5,22.1,36%,,
Bryan Rust,PIT,33,RW,326.7,5.03,65,20.4,3.4,27.0,35.0,62.0,183.2,5.6,21.0,56.0,48.1,-2.6,3.6,3.7,6.3,37%,,
Sebastian Aho (f),CAR,28,C,323.2,4.82,67,20.4,3.0,26.9,40.0,66.9,178.6,5.4,19.1,28.4,61.7,8.0,4.8,557.3,480.1,54%,,
Evan Bouchard,EDM,26,D,322.3,4.88,66,23.3,3.7,11.4,43.4,54.8,175.0,4.1,25.0,90.9,39.3,5.5,1.7,0.0,0.0,0%,,
Shea Theodore,VGK,30,D,319.4,4.70,68,24.6,3.5,7.2,49.2,56.4,140.1,2.6,22.7,115.1,23.4,7.0,1.2,0.0,0.0,0%,,
Brayden Point,T.B,29,C,319.3,4.77,67,18.5,3.9,31.8,33.4,65.2,161.9,12.6,25.8,34.0,24.3,5.3,5.4,307.1,347.8,47%,,
Rasmus Dahlin,BUF,25,D,317.9,4.74,67,23.7,3.6,14.2,39.6,53.9,177.3,5.4,21.2,93.0,84.3,0.2,1.9,0.0,0.0,0%,,
Cutter Gauthier,ANA,21,LW,316.2,4.72,67,17.8,2.8,27.0,28.7,55.8,231.1,6.6,13.3,40.2,67.4,1.8,3.6,35.0,54.4,39%,,
John Tavares,TOR,35,C,316.1,4.79,66,17.3,3.1,29.5,32.9,62.4,191.0,9.2,18.3,29.9,73.8,2.9,4.1,627.0,444.5,59%,,
Nico Hischier,N.J,26,C,315.9,4.72,67,20.6,3.2,26.7,34.5,61.2,163.6,8.6,21.5,58.3,42.9,4.0,4.3,814.7,650.4,56%,,
Jesper Bratt,N.J,27,"LW,RW",314.8,4.70,67,17.6,3.3,18.9,46.9,65.8,154.2,4.9,26.2,27.8,69.9,4.2,3.0,0.9,5.5,14%,,
Patrick Kane,DET,36,RW,313.2,4.75,66,17.5,4.6,22.0,38.1,60.1,176.7,12.3,35.0,19.0,27.2,-2.4,2.8,1.4,4.4,24%,,
Elias Pettersson (f),VAN,26,"C,LW",313.1,4.82,65,20.8,3.6,20.9,37.5,58.4,142.3,7.9,20.0,93.8,77.4,1.2,3.1,519.6,543.3,49%,,
Mika Zibanejad,NYR,32,"C,RW",311.8,4.72,66,21.7,3.6,21.1,36.6,57.7,193.5,8.1,20.4,43.3,58.2,0.5,3.7,501.8,483.0,51%,,
Nazem Kadri,CGY,35,C,310.8,4.78,65,20.0,3.5,25.8,30.6,56.4,219.9,7.6,19.3,24.8,45.5,-4.8,3.2,482.7,541.5,47%,,
Bo Horvat,NYI,30,C,309.6,4.62,67,20.9,3.7,29.5,27.8,57.3,214.9,7.3,15.1,30.4,65.6,-0.9,4.0,683.9,520.7,57%,,
Roman Josi,NSH,35,D,308.2,4.74,65,22.9,3.6,12.0,37.4,49.4,164.4,4.4,22.6,110.6,49.1,-3.9,1.6,0.0,0.0,0%,,
Kirill Marchenko,CBJ,25,RW,308.0,4.53,68,17.8,3.2,26.3,32.5,58.8,189.5,5.6,18.6,36.1,52.2,3.0,3.8,10.4,25.7,29%,,
Mathew Barzal,NYI,28,"C,RW",307.8,4.59,67,20.0,3.7,18.0,41.7,59.7,173.4,3.9,18.5,46.8,39.3,0.4,2.4,104.4,152.3,0%,,
Seth Jarvis,CAR,23,"C,LW,RW",306.1,4.57,67,19.5,2.9,30.2,29.3,59.5,184.8,6.4,13.6,42.9,81.3,8.5,5.4,71.6,108.6,40%,,
Pavel Dorofeyev,VGK,25,RW,305.7,4.50,68,17.5,3.9,35.5,17.9,53.5,210.3,18.3,25.6,29.0,29.4,7.1,5.9,1.8,6.1,23%,,
Roope Hintz,DAL,28,C,305.2,4.62,66,17.8,3.5,24.5,35.9,60.4,164.8,7.8,23.4,36.2,45.9,6.8,4.0,405.2,332.2,55%,,
Gabriel Vilardi,WPG,26,"C,RW",304.3,4.54,67,19.0,3.4,27.7,32.9,60.6,157.4,10.9,23.6,40.2,25.4,3.6,4.3,55.8,57.3,49%,,
Tomas Hertl,VGK,31,"C,LW",302.8,4.45,68,17.8,3.9,28.6,29.2,57.8,168.0,14.6,25.0,40.5,81.1,5.8,4.8,601.4,446.0,57%,,
Dylan Guenther,UTA,22,RW,302.6,4.59,66,17.3,3.5,25.4,30.0,55.4,195.3,10.4,23.3,31.0,56.9,2.0,3.9,12.9,27.7,32%,,
Cole Caufield,MTL,24,"LW,RW",301.5,4.50,67,18.1,2.8,30.1,27.7,57.7,201.4,6.6,15.3,24.6,58.3,3.2,4.5,4.6,7.9,47%,,
Victor Hedman,T.B,34,D,300.9,4.49,67,21.3,3.5,9.3,44.2,53.6,129.1,3.3,25.3,100.5,43.0,6.6,1.6,0.0,0.0,0%,,
Kevin Fiala,L.A,29,LW,300.4,4.55,66,18.4,3.5,27.4,27.7,55.1,198.8,11.3,24.9,21.5,49.5,2.7,4.2,9.3,19.2,0%,,
Josh Morrissey,WPG,30,D,300.0,4.48,67,24.4,3.4,9.8,43.1,52.9,144.2,2.2,17.8,102.7,52.0,6.0,1.5,0.0,0.0,0%,,
Jakob Chychrun,WSH,27,D,297.5,4.44,67,24.6,3.3,16.5,29.1,45.6,193.4,6.1,16.7,94.7,64.5,3.0,2.7,0.0,0.0,0%,,
Dylan Strome,WSH,28,C,297.0,4.43,67,17.3,3.2,22.2,39.8,62.0,133.9,6.1,24.5,39.2,24.0,3.0,3.7,573.8,490.3,54%,,
Alex Debrincat,DET,27,"LW,RW",296.5,4.49,66,16.9,3.4,24.9,29.7,54.6,195.9,10.3,22.0,25.6,29.0,-0.7,3.2,13.1,18.7,41%,,
Lucas Raymond,DET,23,RW,295.5,4.48,66,18.3,3.4,22.2,39.5,61.6,145.8,6.2,24.4,26.6,40.3,-1.2,2.8,2.1,4.6,31%,,
Mark Stone,VGK,33,RW,295.5,4.35,68,16.3,3.1,17.3,44.4,61.6,125.9,6.0,27.6,40.1,35.5,6.6,2.9,1.8,7.6,19%,,
Nick Schmaltz,UTA,29,"C,RW",294.7,4.46,66,20.1,3.6,21.8,35.5,57.4,162.3,9.1,21.8,39.2,19.4,1.4,3.3,146.6,184.6,0%,,
Dylan Holloway,STL,24,"LW,RW",291.3,4.41,66,18.8,2.8,23.6,33.7,57.3,162.8,5.3,14.8,46.4,151.4,3.1,3.5,27.8,27.0,51%,,
Brad Marchand,FLA,37,LW,289.8,4.33,67,18.4,3.2,26.5,29.7,56.2,182.5,5.0,16.4,27.2,78.5,3.0,4.4,7.9,13.9,36%,,
Robert Thomas,STL,26,C,288.6,4.37,66,18.0,3.0,18.7,44.5,63.3,120.1,5.5,21.0,35.5,20.6,2.1,2.8,593.1,518.9,53%,,
Cole Perfetti,WPG,23,"C,LW,RW",288.2,4.30,67,18.0,4.3,21.5,33.4,54.9,159.7,9.5,25.7,35.7,55.7,4.2,3.3,28.1,56.8,33%,,
Travis Konecny,PHI,28,"LW,RW",287.9,4.30,67,19.7,2.1,22.3,36.0,58.3,171.8,3.3,8.3,37.8,83.1,-1.9,3.3,30.1,47.3,39%,,
Evgeni Malkin,PIT,39,"C,LW",286.8,4.41,65,18.0,3.6,17.2,40.1,57.3,152.1,5.7,22.9,31.8,32.7,-3.0,2.3,273.4,311.3,47%,,
Leo Carlsson,ANA,20,C,286.4,4.27,67,19.2,3.3,25.6,33.8,59.4,142.9,5.8,17.2,38.9,27.5,0.3,3.4,348.3,522.5,40%,,
Vince Dunn,SEA,29,D,285.6,4.26,67,24.1,3.0,12.1,36.5,48.5,160.8,2.9,16.2,86.7,36.8,-4.2,1.5,0.0,0.0,0%,,
Nikolaj Ehlers,CAR,29,"LW,RW",284.2,4.24,67,16.2,2.9,20.2,34.0,54.2,182.7,4.5,16.8,27.0,36.8,8.7,3.6,8.1,20.5,28%,,
Matthew Schaefer,NYI,18,D,284.0,4.24,67,22.4,3.5,15.8,28.3,44.2,174.0,9.6,21.5,86.0,52.6,-1.7,2.1,0.0,0.0,0%,,
Tim Stützle,OTT,23,"C,LW",283.3,4.29,66,19.1,3.1,19.4,37.2,56.6,147.0,3.6,19.1,41.9,87.8,2.1,3.0,208.0,217.9,49%,,
Jordan Kyrou,STL,27,RW,281.4,4.26,66,17.5,2.6,27.0,25.7,52.7,183.5,6.1,15.5,32.2,30.7,3.0,4.0,1.4,4.4,24%,,
Miro Heiskanen,DAL,26,D,280.0,4.24,66,25.5,3.7,8.1,36.2,44.3,144.0,1.8,18.0,114.0,38.4,6.0,1.3,0.0,0.0,0%,,
Tom Wilson,WSH,31,RW,279.0,4.16,67,19.0,3.3,27.4,26.0,53.4,152.2,10.6,17.3,50.7,178.2,2.9,4.6,9.9,22.9,30%,,
Jared McCann,SEA,29,"C,LW",278.9,4.16,67,17.2,2.7,22.3,30.7,53.0,172.1,5.0,15.2,37.4,49.8,-3.8,2.7,94.6,108.4,47%,,
Alex Tuch,BUF,29,RW,277.7,4.14,67,18.5,1.7,24.3,26.8,51.1,156.8,1.6,5.9,80.3,55.0,0.7,3.3,40.1,59.8,40%,,
Anton Lundell,FLA,24,C,277.2,4.14,67,20.0,3.4,19.5,31.5,51.0,164.4,6.2,16.4,51.1,82.1,4.4,3.2,581.9,502.6,54%,,
Valeri Nichushkin,COL,30,"LW,RW",276.8,4.19,66,19.6,3.3,27.4,25.2,52.6,174.5,10.0,17.1,29.6,75.7,8.7,4.8,3.3,3.5,49%,,
Lane Hutson,MTL,21,D,276.8,4.13,67,23.0,3.1,5.8,48.5,54.3,85.6,1.0,21.0,99.8,39.6,2.2,0.9,0.0,0.0,0%,,
Mikhail Sergachev,UTA,27,D,276.8,4.19,66,24.6,3.5,10.6,35.8,46.4,114.8,2.8,21.7,117.1,52.6,-0.4,1.6,0.0,0.0,0%,,
Troy Terry,ANA,28,RW,276.8,4.13,67,18.7,3.3,19.8,36.4,56.1,164.9,4.0,14.4,23.0,14.1,-0.1,2.7,7.0,11.2,39%,,
Zach Hyman,EDM,33,"LW,RW",276.7,4.19,66,18.9,3.1,29.6,19.6,49.3,204.4,8.1,14.0,25.2,55.9,7.7,4.4,3.6,5.0,42%,,
Carter Verhaeghe,FLA,30,LW,276.2,4.12,67,19.0,2.3,20.9,29.1,50.1,203.8,4.5,11.4,25.4,73.3,5.4,3.4,27.3,40.9,40%,,
Matthew Knies,TOR,23,LW,275.5,4.17,66,20.1,3.3,24.2,32.9,57.1,143.0,6.3,15.2,35.5,150.8,2.4,3.4,0.0,0.7,0%,,
Jake Sanderson,OTT,23,D,274.8,4.16,66,24.0,3.1,8.8,31.8,40.6,146.3,3.4,17.6,124.6,42.3,1.0,1.4,0.1,0.2,35%,,
Joel Eriksson Ek,MIN,28,C,274.1,4.22,65,19.3,3.5,19.0,26.3,45.4,195.1,7.7,17.3,46.5,111.0,1.2,2.8,634.1,661.6,49%,,
Anze Kopitar,L.A,38,C,273.6,4.15,66,18.9,3.9,19.2,38.2,57.4,102.8,7.3,24.6,50.8,36.5,2.7,3.0,691.4,538.8,56%,,
Logan Cooley,UTA,21,C,272.8,4.13,66,18.0,3.6,24.1,32.0,56.1,138.2,8.7,21.9,26.7,55.4,1.4,3.7,297.3,408.1,42%,,
William Eklund,S.J,23,LW,272.5,4.13,66,20.4,3.1,18.6,34.8,53.5,144.8,7.3,16.8,45.9,46.9,-6.5,2.3,24.7,64.1,28%,,
Moritz Seider,DET,24,D,272.0,4.12,66,25.1,3.4,7.4,32.2,39.5,135.1,3.0,21.1,129.6,142.8,-0.7,0.9,0.0,0.0,0%,,
John Carlson,WSH,35,D,270.1,4.03,67,23.2,3.6,7.2,35.6,42.8,139.2,2.7,17.0,110.2,48.3,2.5,1.2,0.0,0.0,0%,,
Dougie Hamilton,N.J,32,D,269.8,4.03,67,21.1,2.4,11.1,28.4,39.6,174.4,6.3,16.2,95.6,75.5,3.1,1.8,0.0,0.0,0%,,
Josh Norris,BUF,26,C,269.2,4.02,67,18.9,5.1,25.5,23.1,48.6,153.9,11.5,23.6,45.6,127.9,-2.0,3.5,485.8,433.1,53%,,
Conor Garland,VAN,29,RW,268.8,4.14,65,20.9,3.7,18.3,29.4,47.7,174.2,5.1,16.6,43.9,45.3,1.9,2.7,7.2,20.4,26%,,
Mackenzie Weegar,CGY,31,D,268.5,4.13,65,24.5,2.5,9.1,27.8,36.9,144.4,2.3,13.2,144.5,152.2,-5.0,1.1,0.0,0.3,0%,,
Drake Batherson,OTT,27,"LW,RW",267.9,4.06,66,17.3,2.9,20.9,33.3,54.2,144.4,8.2,20.9,24.3,101.5,1.1,3.3,16.9,16.2,51%,,
Erik Karlsson,PIT,35,D,266.3,4.10,65,24.8,3.5,8.1,35.8,43.9,152.5,1.8,15.7,85.2,30.8,-2.0,1.1,0.0,0.0,0%,,
Sean Monahan,CBJ,31,C,264.4,3.89,68,17.9,3.0,19.5,33.5,53.0,145.2,7.2,17.3,31.2,39.5,1.7,2.8,651.2,563.5,54%,,
Jordan Eberle,SEA,35,RW,264.1,3.94,67,19.7,3.0,20.2,30.6,50.8,163.2,3.8,13.5,33.1,45.8,-4.5,2.5,25.4,34.1,43%,,
Timo Meier,N.J,29,"LW,RW",262.1,3.91,67,17.4,1.5,21.1,23.5,44.5,190.8,4.8,9.5,47.2,106.3,3.4,3.4,23.9,35.0,41%,,
Will Smith,S.J,20,"C,RW",261.8,3.97,66,18.8,3.0,21.2,33.5,54.8,145.7,2.9,13.5,22.2,22.9,-5.2,2.7,39.2,86.4,31%,,
Ryan Nugent-Hopkins,EDM,32,"C,LW",259.4,3.93,66,18.7,3.4,17.7,33.4,51.1,134.2,6.2,23.4,31.2,33.5,4.1,2.7,196.3,218.1,47%,,
Tyler Toffoli,S.J,33,"LW,RW",256.7,3.89,66,17.2,3.0,24.9,21.4,46.3,181.3,6.3,12.4,29.3,52.8,-5.4,3.1,14.2,17.5,45%,,
Quinton Byfield,L.A,23,"C,LW",256.1,3.88,66,20.4,2.9,19.1,32.0,51.1,151.9,4.9,13.4,26.6,65.4,4.1,3.0,314.7,392.1,45%,,
Jackson Lacombe,ANA,24,D,255.3,3.81,67,25.5,3.5,8.2,29.1,37.3,127.8,2.0,13.8,131.7,72.4,-0.7,1.1,0.0,0.4,0%,,
Owen Tippett,PHI,26,"LW,RW",255.2,3.81,67,17.5,2.2,21.4,20.0,41.4,202.0,2.5,6.6,46.9,107.3,-1.7,3.2,7.5,13.4,36%,,
Trevor Zegras,PHI,24,C,255.1,3.81,67,18.8,2.8,18.1,33.3,51.4,143.8,4.3,13.2,31.4,50.8,-2.3,2.7,114.0,192.4,37%,,
Jonathan Huberdeau,CGY,32,"C,LW",254.4,3.91,65,19.4,3.3,20.2,29.7,49.9,130.8,7.0,17.7,42.9,43.8,-4.4,2.5,10.4,16.8,38%,,
Thomas Chabot,OTT,28,D,254.2,3.85,66,23.6,2.0,9.0,29.7,38.7,135.0,1.4,8.4,124.4,52.3,2.6,1.4,0.0,0.0,0%,,
Kyle Palmieri,NYI,34,RW,254.2,3.79,67,18.8,3.4,21.0,24.1,45.2,170.8,6.3,15.5,35.6,51.8,-3.4,2.8,10.2,13.9,42%,,
Tyler Seguin,DAL,33,"C,RW",253.4,3.84,66,18.1,2.6,25.5,27.6,53.1,141.8,6.2,10.9,24.3,48.3,5.6,4.1,374.2,293.8,56%,,
Rickard Rakell,PIT,32,"C,LW,RW",252.9,3.89,65,17.5,2.4,21.8,25.3,47.1,145.9,4.9,11.3,54.9,80.2,-2.7,2.9,9.8,18.6,34%,,
Morgan Rielly,TOR,31,D,252.2,3.82,66,21.8,2.8,6.3,36.7,43.0,119.4,1.2,16.1,94.8,40.0,0.9,0.9,0.0,0.0,0%,,
Mikael Granlund,ANA,33,"C,LW,RW",251.9,3.76,67,16.5,3.4,14.6,35.9,50.5,125.1,4.2,19.7,36.6,43.3,-0.9,2.0,335.2,353.5,49%,,
Aliaksei Protas,WSH,24,RW,250.9,3.74,67,18.0,1.3,22.0,29.8,51.8,141.8,1.2,4.7,39.9,33.0,3.9,3.7,16.5,40.6,29%,,
Jonathan Marchessault,NSH,34,RW,250.6,3.86,65,17.9,2.9,21.4,24.2,45.7,179.3,4.9,14.1,19.8,81.1,-5.9,2.9,10.2,23.0,31%,,
Tyler Bertuzzi,CHI,30,"LW,RW",250.4,3.79,66,18.3,3.1,25.4,23.8,49.2,142.4,11.6,20.3,22.3,66.3,-4.7,3.6,27.6,39.1,41%,,
Thomas Harley,DAL,24,D,250.2,3.79,66,23.2,1.6,11.7,28.3,40.0,125.6,0.7,8.8,117.4,39.6,6.7,1.9,0.0,0.0,0%,,
Morgan Geekie,BOS,27,C,249.7,3.84,65,17.5,3.3,27.1,23.1,50.2,139.6,6.7,15.9,26.8,94.4,-3.2,3.8,169.3,190.0,47%,,
Ryan O'Reilly,NSH,34,C,249.0,3.83,65,19.5,2.8,19.6,27.9,47.5,129.0,7.1,14.4,55.5,25.9,-4.1,2.6,646.2,519.4,55%,,
Dylan Cozens,OTT,24,C,247.1,3.74,66,17.8,2.9,17.2,27.8,45.1,161.2,5.8,14.4,33.7,160.3,-0.7,2.7,444.3,456.6,49%,,
Noah Dobson,MTL,25,D,246.6,3.68,67,22.5,1.0,7.6,29.0,36.5,135.9,0.3,4.7,128.7,52.9,2.7,1.1,0.0,0.0,0%,,
Seth Jones,FLA,31,D,246.5,3.68,67,23.7,3.7,8.3,28.6,36.9,134.2,4.3,18.6,100.2,84.4,2.6,1.4,0.0,0.0,0%,,
Brandon Montour,SEA,31,D,246.2,3.67,67,22.8,2.1,12.0,22.6,34.5,176.9,2.4,9.0,90.6,73.2,-5.8,1.5,0.0,0.0,0%,,
Shane Pinto,OTT,24,C,245.8,3.72,66,19.7,1.8,23.1,22.0,45.1,159.8,2.3,4.4,52.1,73.6,2.9,3.6,455.0,427.2,52%,,
Frank Nazar,CHI,21,C,245.2,3.71,66,18.9,2.8,19.8,25.1,44.9,139.1,4.5,13.7,54.3,49.0,-5.2,2.8,348.8,432.6,45%,,
Chris Kreider,ANA,34,LW,245.2,3.66,67,16.6,3.4,26.9,17.4,44.3,163.1,12.3,19.0,23.2,72.5,0.3,3.6,18.8,34.9,35%,,
Victor Olofsson,COL,30,"LW,RW",244.4,3.70,66,14.7,3.8,20.1,24.4,44.5,155.4,10.9,23.0,20.4,37.7,8.6,3.5,0.3,3.5,8%,,
Evander Kane,VAN,34,LW,243.6,3.75,65,18.1,1.6,18.2,23.3,41.4,191.9,2.6,6.7,33.4,135.4,-0.6,2.7,25.0,33.1,43%,,
Jake Debrusk,VAN,29,"LW,RW",243.4,3.75,65,18.0,3.3,22.7,18.4,41.1,167.9,11.3,17.8,36.9,73.0,0.1,3.4,9.2,17.4,35%,,
Shayne Gostisbehere,CAR,32,D,241.4,3.60,67,18.3,3.2,7.1,35.8,42.9,108.9,2.7,22.3,72.1,45.4,8.1,1.3,0.0,0.0,0%,,
Pavel Buchnevich,STL,30,"C,LW,RW",241.4,3.66,66,18.3,3.1,18.2,29.9,48.1,139.2,5.7,15.3,24.2,42.1,0.7,2.7,34.9,49.4,41%,,
Artturi Lehkonen,COL,30,"LW,RW",240.2,3.64,66,18.8,1.6,23.2,23.0,46.2,148.9,2.4,5.0,44.3,39.1,11.8,4.1,6.3,13.0,33%,,
Teuvo Teravainen,CHI,31,"LW,RW",239.9,3.64,66,19.5,2.4,17.1,33.3,50.3,111.3,5.9,17.2,32.1,32.5,-4.1,2.4,52.4,72.9,42%,,
Zach Benson,BUF,20,LW,239.8,3.58,67,19.2,3.6,14.3,30.8,45.1,145.0,4.9,15.0,34.0,43.2,0.6,1.9,6.4,17.2,27%,,
Juraj Slafkovsky,MTL,21,"LW,RW",238.3,3.56,67,17.9,2.8,18.3,26.2,44.4,130.3,6.4,12.6,54.5,140.3,2.7,2.8,9.4,18.0,34%,,
Brock Nelson,COL,34,C,238.1,3.61,66,18.5,2.5,21.2,22.5,43.7,155.4,3.2,8.1,42.4,34.9,9.1,3.7,460.9,474.2,49%,,
Brock Boeser,VAN,28,RW,238.1,3.66,65,17.5,3.2,24.2,22.4,46.7,138.3,7.7,16.0,25.7,55.6,-0.1,3.6,22.5,34.0,40%,,
Noah Hanifin,VGK,28,D,237.4,3.49,68,23.6,1.4,9.3,27.1,36.4,139.2,2.1,7.5,102.5,49.6,6.6,1.6,0.0,0.0,0%,,
Steven Stamkos,NSH,35,"C,LW,RW",236.9,3.64,65,17.3,3.0,21.0,21.0,42.0,152.0,9.8,17.4,34.8,51.7,-5.9,2.8,260.0,237.0,52%,,
