Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,G,A,P,PPG,PPA,PPP,SHG,SHA,SHP,Hit,BLK,PIM,FOW,FOL,SOG,#ERROR!,VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
Erik Karlsson,35,PIT,D,"$11,500,000",,,,82,71,18.8,2.6,0.71,22.11,10,47,57,2,16,18,0,0,0,18,77,24,0,0,143,-6,488,60,589,319,8474578,,71,71
Josh Morrissey,30,WPG,D,"$6,250,000",,,,80,70,20,3.11,0.77,23.88,10,47,57,2,19,21,0,0,0,50,106,30,0,0,143,13,728,30,829,355,8477504,,70.2,70.2
Victor Hedman,35,TBL,D,"$8,000,000",,,,76,67,18.42,3.17,1.87,23.46,11,46,57,3,20,23,0,1,1,40,112,27,0,0,143,7,733,29,834,353,8475167,,66.7,66.7
Bo Horvat,30,NYI,C,"$8,500,000",,,,78,69,15.28,3.03,1.3,19.61,28,27,55,8,7,15,1,1,2,66,37,18,674,502,190,4,231,123,611,488,8477500,,69.4,69.4
Carter Verhaeghe,30,FLA,LW,"$7,000,000",,,,80,69,15.22,2.51,0.02,17.75,25,31,56,6,9,15,0,0,0,58,25,29,27,30,194,5,336,95,656,375,8477409,,69.3,69.3
Drake Batherson,27,OTT,"LW,RW","$4,975,000",,,,82,71,14.2,3.16,0.01,17.37,22,34,56,10,13,23,0,0,0,111,27,25,8,9,160,-7,448,68,761,355,8480208,,71,71
Logan Cooley,21,UTA,C,"$950,000",,,,78,68,14.24,2.72,0.96,17.92,25,31,56,8,11,19,0,1,1,60,29,27,310,448,143,1,218,124,598,362,8483431,,67.5,67.5
Nikolaj Ehlers,29,CAR,"LW,RW","$8,500,000",,,,78,69,13.38,2.67,0.02,16.07,20,37,57,5,12,17,0,0,0,38,30,19,16,18,180,7,235,120,548,353,8477940,,69.4,69.4
Roope Hintz,29,DAL,C,"$8,450,000",,,,75,66,13.54,2.73,1.2,17.46,26,29,55,8,10,18,2,0,2,40,41,22,459,426,150,7,166,141,546,406,8478449,,71,65.9
Jared McCann,29,SEA,"C,LW","$5,000,000",,,,80,70,13.22,2.52,1.33,17.06,26,30,56,5,10,15,1,0,1,57,38,16,75,75,173,1,231,122,551,361,8477955,,71,70.2
Ryan Nugent-Hopkins,32,EDM,"C,LW","$5,125,000",,,,78,68,13.61,3.07,1.67,18.35,20,34,54,7,17,24,1,1,2,31,33,23,226,279,131,4,193,132,513,338,8476454,,67.5,67.5
Alex Ovechkin,40,WSH,"LW,RW","$9,500,000",,,,72,63,13.2,4.09,0.02,17.31,27,28,55,8,10,18,0,0,0,122,16,16,0,1,190,2,369,86,681,376,8471214,,63.2,63.2
Miro Heiskanen,26,DAL,D,"$8,450,000",,,,79,69,20.02,3.51,1.04,24.57,10,44,54,3,21,24,0,0,0,23,106,20,0,0,155,7,617,46,718,348,8480036,,69.4,69.4
Nazem Kadri,35,CGY,C,"$7,000,000",,,,82,71,15.7,3.15,0.09,18.94,23,31,54,8,10,18,0,0,0,49,27,45,481,566,207,-13,419,79,799,442,8475172,,71,71
Steven Stamkos,35,NSH,"C,LW,RW","$8,000,000",,,,81,70,14.08,3.23,0.04,17.35,22,31,53,10,12,22,0,0,0,46,42,35,240,223,155,-12,370,85,682,372,8474564,,70.1,70.1
Anze Kopitar,38,LAK,C,"$7,000,000",,,,80,69,14.61,2.73,1.29,18.63,16,36,52,4,12,16,0,1,1,53,64,7,694,540,95,9,-79,232,301,392,8471685,,69.3,69.3
Evgeni Malkin,39,PIT,"C,LW","$6,100,000",,,,74,64,14.62,2.55,0.01,17.18,17,36,53,5,11,16,0,0,0,33,35,37,232,319,122,-7,160,144,480,315,8471215,,64.1,64.1
Gabriel Vilardi,26,WPG,"C,RW","$7,500,000",,,,79,69,14.83,3.07,0.01,17.91,24,28,52,9,9,18,0,0,0,30,42,17,56,53,134,0,90,166,403,312,8480014,,69.4,69.4
Jonathan Marchessault,35,NSH,RW,"$5,500,000",,,,78,68,14.38,3.12,0.01,17.51,24,29,53,6,11,17,0,0,0,85,20,26,18,20,174,-10,294,109,606,347,8476539,,67.5,67.5
Matt Duchene,35,DAL,"C,RW","$4,500,000",,,,81,71,13.97,2.24,0.08,16.29,19,34,53,5,10,15,0,0,0,28,31,14,292,262,119,5,-45,218,267,326,8475168,,71,71.1
Matthew Tkachuk,28,FLA,"LW,RW","$9,500,000",,,,74,50,14.89,3.27,0,18.16,21,33,54,8,11,19,0,0,0,76,16,42,2,4,151,11,368,87,680,340,8479314,,50,64.1
Rasmus Dahlin,25,BUF,D,"$11,000,000",,,,76,67,19.91,3.19,0.97,24.08,13,41,54,4,16,20,0,0,0,87,91,51,0,0,173,-8,937,12,1038,381,8480839,,66.7,66.7
Shea Theodore,30,VGK,D,"$7,425,000",,,,78,68,19.54,2.55,0.44,22.54,8,45,53,2,16,18,0,0,0,8,104,18,0,0,136,10,422,78,522,316,8477447,,68.5,68.5
Troy Terry,28,ANA,RW,"$7,000,000",,,,75,67,14.54,2.92,0.35,17.81,21,32,53,6,9,15,0,0,0,6,24,15,9,7,146,-1,-38,211,275,297,8478873,,66.8,66.8
John Carlson,36,WSH,D,"$8,000,000",,,,80,70,17.63,3.15,2.59,23.37,11,42,53,3,17,20,0,1,1,43,125,20,0,0,150,10,640,37,741,352,8474590,,70.2,70.2
Kirill Marchenko,25,CBJ,RW,"$3,850,000",,,,79,69,15.73,2.64,0.09,18.46,28,23,51,6,7,13,0,0,0,52,41,17,6,12,188,4,183,137,495,355,8480893,,69.4,69.4
Mark Stone,33,VGK,RW,"$9,500,000",,,,68,60,14.42,2.8,1.21,18.42,18,34,52,5,12,17,1,0,1,32,39,14,4,6,121,8,0,199,312,287,8475913,,59.7,59.7
Matthew Knies,23,TOR,LW,"$7,750,000",,,,77,67,15.45,2.36,1.13,18.94,22,30,52,5,8,13,0,1,1,167,41,39,0,0,134,7,455,67,775,344,8482720,,66.7,66.7
Matvei Michkov,21,PHI,RW,"$950,000",,,,80,71,13.61,2.89,0.03,16.52,23,29,52,7,8,15,0,0,0,37,21,39,9,10,168,1,241,118,554,336,8484387,,71.2,71.2
Mikael Granlund,33,ANA,"C,LW,RW","$7,000,000",,,,81,63,13.83,2.89,1.51,18.23,14,32,46,4,13,17,1,0,1,39,44,19,415,389,112,-12,-56,225,256,323,8475798,,63,72.1
Pavel Buchnevich,30,STL,"C,LW,RW","$8,000,000",,,,76,67,14.44,2.44,1.29,18.17,20,32,52,5,9,14,1,0,1,37,26,26,43,67,124,5,36,183,349,292,8477402,,66.7,66.7
Sean Monahan,31,CBJ,C,"$5,500,000",,,,80,70,14.64,2.59,1.44,18.67,19,32,51,6,8,14,1,1,2,41,39,18,722,645,153,5,0,196,380,430,8477497,,70.2,70.2
Timo Meier,29,NJD,"LW,RW","$8,800,000",,,,79,69,15.67,1.95,0.06,17.68,26,25,51,8,6,14,0,0,0,121,49,33,26,34,203,5,511,58,823,400,8478414,,69.4,69.4
Zach Hyman,33,EDM,"LW,RW","$5,500,000",,,,74,64,15.57,2.95,0.06,18.58,30,21,51,8,5,13,0,0,0,55,23,27,2,4,180,20,200,130,512,357,8475786,,69,64.1
Artturi Lehkonen,30,COL,"LW,RW","$4,500,000",,,,75,65,15.68,2.57,1.2,19.45,25,26,51,4,7,11,1,0,1,47,38,21,6,13,142,21,56,178,369,316,8477476,,64.9,64.9
Patrick Kane,37,DET,RW,"$3,000,000",,,,73,64,14.31,2.95,0.01,17.27,18,33,51,6,16,22,0,0,0,20,20,11,2,3,146,-11,0,196,312,291,8474141,,68,64.1
Tom Wilson,31,WSH,RW,"$6,500,000",,,,78,68,14.31,2.77,1.6,18.67,25,26,51,9,6,15,1,1,2,197,60,79,16,21,146,7,939,11,1251,395,8476880,,68.5,68.5
Adam Fantilli,21,CBJ,C,"$950,000",,,,82,72,14.95,1.76,0.24,16.96,26,24,50,4,4,8,0,0,0,90,44,19,282,368,164,-2,76,172,456,366,8484166,,72,72
Bryan Rust,33,PIT,RW,"$5,125,000",,,,71,61,15.75,2.53,1.32,19.59,24,25,49,4,9,13,1,0,1,41,53,20,5,4,156,-2,106,161,419,320,8475810,,61.5,61.5
Conor Garland,29,VAN,RW,"$4,950,000",,,,80,67,14.16,2.86,1.1,18.12,18,30,48,4,10,14,0,1,1,47,40,30,7,26,148,5,116,155,428,309,8478856,,67,69.3
Ivan Demidov,20,MTL,RW,"$940,833",,,,76,66,13.34,2.81,0.4,16.55,19,31,50,4,11,15,0,0,0,26,22,36,0,0,133,4,78,170,391,292,8484984,,65.8,65.8
Jonathan Huberdeau,32,CGY,"C,LW","$10,500,000",,,,80,69,14.74,2.87,0.92,18.53,16,33,49,6,11,17,1,0,1,45,44,29,13,16,112,-9,77,171,398,276,8476456,,69.3,69.3
Lane Hutson,21,MTL,D,"$950,000",,,,82,71,19.36,2.92,0.22,22.5,7,43,50,2,17,19,0,0,0,40,107,23,0,0,93,-3,404,80,505,276,8483457,,71,71
Ryan O'Reilly,34,NSH,C,"$4,500,000",,,,78,68,14.73,2.91,1.13,18.77,21,30,51,6,9,15,1,0,1,25,60,16,599,486,120,-3,-36,210,345,387,8475158,,67.5,67.5
Tomas Hertl,32,VGK,"C,LW","$8,137,500",,,,76,67,13.99,2.81,0.38,17.18,24,26,50,9,9,18,0,0,0,93,48,22,569,444,142,1,255,114,575,426,8476881,,66.7,66.7
Claude Giroux,38,OTT,"LW,RW","$2,000,000",,,,81,70,12.76,2.38,1.98,17.12,15,34,49,3,13,16,1,1,2,51,29,19,390,252,116,-3,-34,207,279,342,8473512,,70.1,70.1
Mason McTavish,23,ANA,C,"$7,000,000",,,,76,68,15.3,2.45,0.12,17.87,23,27,50,8,6,14,0,0,0,86,38,46,479,484,153,-15,303,107,683,402,8482745,,67.7,67.7
Vincent Trocheck,32,NYR,C,"$5,625,000",,,,82,68,15.28,2.65,1.87,19.8,19,31,50,6,6,12,2,0,2,145,63,36,631,460,149,-6,374,83,754,457,8476389,,68,71
Andrei Svechnikov,25,CAR,"LW,RW","$7,750,000",,,,73,65,13.23,3.05,0.02,16.31,19,29,48,7,11,18,0,0,0,104,20,42,5,2,152,0,328,100,641,330,8480830,,65,65
Brock Boeser,28,VAN,RW,"$7,250,000",,,,78,68,14.88,3.37,0.1,18.34,24,25,49,8,9,17,0,0,0,58,30,12,37,65,142,-2,31,184,343,305,8478444,,67.5,67.5
Brock Nelson,34,COL,C,"$7,500,000",,,,80,69,14.24,2.73,1,17.97,21,27,48,4,7,11,1,0,1,48,41,21,486,524,149,2,-44,216,336,374,8475754,,69.3,69.3
Dougie Hamilton,32,NJD,D,"$9,000,000",,,,80,70,16.91,2.7,0.63,20.25,14,34,48,7,13,20,0,0,0,76,91,32,0,0,185,6,706,31,807,375,8476462,,70.2,70.2
Dylan Cozens,24,OTT,C,"$7,100,000",,,,81,70,14,2.64,0.68,17.32,22,27,49,7,9,16,1,0,1,177,36,39,436,378,166,-12,464,64,845,432,8481528,,70.1,70.1
Jordan Eberle,35,SEA,RW,"$4,750,000",,,,81,71,15.17,2.34,0.01,17.53,21,27,48,3,7,10,0,0,0,51,37,22,29,19,136,6,-16,202,296,299,8474586,,71.1,71.1
Mats Zuccarello,38,MIN,RW,"$4,125,000",,,,72,61,15.95,3.19,0,19.14,14,35,49,3,16,19,0,0,0,30,43,19,15,22,125,0,23,185,335,283,8475692,,61,62.3
Mikhail Sergachev,27,UTA,D,"$8,500,000",,,,78,68,18.12,3.19,2.85,24.15,8,40,48,2,20,22,0,1,1,46,124,36,0,0,119,-1,639,39,740,316,8479410,,67.5,67.5
Noah Dobson,26,MTL,D,"$9,500,000",,,,80,69,18.88,1.92,1.18,21.98,8,35,43,2,11,13,0,1,1,43,125,27,0,0,146,3,431,73,531,317,8480865,,69.3,69.3
Shayne Gostisbehere,32,CAR,D,"$3,200,000",,,,76,68,14.26,3.35,0.24,17.85,8,40,48,3,22,25,0,0,0,34,67,25,0,0,114,12,383,81,484,291,8476906,,72,67.7
William Eklund,23,SJS,LW,"$863,333",,,,76,67,15.48,2.88,0.91,19.28,19,28,47,7,9,16,0,1,1,48,51,22,12,36,138,-18,75,173,395,291,8482667,,66.7,66.7
Cutter Gauthier,22,ANA,LW,"$950,000",,,,81,72,14.39,1.73,0.13,16.25,25,21,46,3,4,7,0,0,0,73,47,22,23,49,218,-2,175,139,495,370,8483445,,72.1,72.1
JJ Peterka,24,UTA,"LW,RW","$7,700,000",,,,77,67,14.76,2.58,0.02,17.36,21,27,48,4,7,11,0,0,0,18,17,22,5,17,149,5,-103,244,209,289,8482175,,66.7,66.7
Jonathan Drouin,30,NYI,"LW,RW","$4,000,000",,,,72,64,14.33,3.19,0.01,17.54,14,34,48,3,12,15,0,0,0,23,23,20,29,41,83,8,-206,294,107,235,8477494,,64.1,64.1
Matty Beniers,23,SEA,C,"$7,142,857",,,,82,72,15.99,2.55,0.51,19.04,20,28,48,6,6,12,0,0,0,44,59,11,478,558,133,-2,-99,241,281,353,8482665,,72,72
Morgan Geekie,27,BOS,"C,LW,RW","$5,500,000",,,,78,67,14.62,2.24,0.07,16.93,23,23,46,4,7,11,0,0,0,109,33,23,120,106,123,3,58,177,371,312,8479987,,66.6,66.6
Pavel Dorofeyev,25,VGK,"LW,RW","$1,835,000",,,,78,68,13.85,2.4,0.01,16.26,28,19,47,10,6,16,0,0,0,26,35,22,1,4,179,5,109,160,422,337,8481604,,68.5,68.5
Quinton Byfield,23,LAK,"C,LW","$6,250,000",,,,78,68,15.16,2.2,1.26,18.62,20,28,48,5,5,10,1,0,1,85,32,37,368,492,145,8,161,143,482,358,8482124,,67.5,67.5
Tyler Seguin,34,DAL,"C,RW","$9,850,000",,,,76,67,13.62,1.99,0.62,16.23,21,26,47,5,4,9,0,1,1,40,27,18,304,268,136,9,-129,253,184,332,8475794,,66.7,66.7
Tyler Toffoli,33,SJS,"LW,RW","$6,000,000",,,,75,66,13.67,2.98,0.06,16.71,24,23,47,8,8,16,0,0,0,53,22,11,10,14,171,-9,8,193,321,316,8475726,,65.9,65.9
Will Smith,20,SJS,"C,RW","$950,000",,,,75,66,14.21,2.44,0.04,16.69,19,28,47,5,8,13,0,0,0,26,18,18,34,68,123,-12,-167,273,145,258,8484227,,65.9,65.9
Gabriel Landeskog,33,COL,LW,"$7,000,000",,,,71,61,13.24,3.03,0.41,16.69,17,28,45,6,8,14,0,0,0,96,35,34,145,107,144,10,165,142,486,339,8476455,,61.5,61.5
Jakob Chychrun,27,WSH,D,"$9,000,000",,,,76,67,19.29,2.43,0.21,21.94,16,30,46,6,9,15,0,0,0,62,90,40,0,0,169,9,612,47,712,355,8479345,,66.7,66.7
Juraj Slafkovsky,21,MTL,"LW,RW","$7,600,000",,,,79,68,14.81,3.15,0.01,17.97,21,26,47,7,7,14,0,0,0,152,64,43,6,24,131,-1,461,65,774,334,8483515,,68.4,68.4
Kent Johnson,23,CBJ,"C,LW,RW","$1,800,000",,,,78,68,13.37,2.63,0.34,16.33,18,27,45,4,9,13,0,1,1,9,31,13,3,10,118,-2,-245,314,67,250,8482660,,68.5,68.5
